Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
1.899.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,78.000 km,Otomatik,Dizel,SUV,Füme,1601 - 1800 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.849.750TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,76.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sağ Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
2.830.000TL,28 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum,2024,19.000 km,Otomatik,Hibrit,SUV,Bej,1497 cc,163 hp,Önden Çekiş,"7,1 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,I Segment,,,3.0,300 nm,4800 rpm,2800 rpm,"9,6 sn",200 km/s,"7,1 lt",,,4680 mm,1840 mm,1725 mm,2100 kg,1637 kg,5.0,585 lt,235/55 R19,2705.0
2.675.000TL,28 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum Premium,2024,88.000 km,Otomatik,Benzin,SUV,Bej,1497 cc,213 hp,4WD (Sürekli),"6,3 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2022 - 2024,I Segment,,,3.0,525 nm,,,7 sn,180 km/s,"6,3 lt",,,4680 mm,1840 mm,1725 mm,2380 kg,1917 kg,5.0,575 lt,235/55 R19,2705.0
2.070.000TL,28 Şubat 2026,Nissan,X-Trail,1.5 DIG-T Platinum,2021,77.000 km,Otomatik,Benzin,SUV,Beyaz,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.899.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,78.000 km,Otomatik,Dizel,SUV,Füme,1601 - 1800 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.849.750TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,76.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sağ Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
1.675.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2017,158.000 km,Otomatik,Dizel,SUV,Füme,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.865.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,103.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.764.750TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,119.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk,-,-,,,,,,,,,,,,,,,,,,,,,,
1.500.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,93.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,4 boyalı,Galeriden,Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Sağ Ön Çamurluk,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.489.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2017,169.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"4 boyalı, 1 lokal boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Ön Tampon Arka Tampon,Motor Kaputu,Sol Arka Çamurluk Sol Arka Kapı Sol Ön Kapı Sol Ön Çamurluk,-,-,,,,,,,,,,,,,,,,,,,,,,
1.510.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,122.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.549.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2018,197.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.475.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2016,189.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.549.058TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2016,145.000 km,Otomatik,Dizel,SUV,Gri,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.489.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2014,125.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.395.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2016,176.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,"1 değişen, 1 lokal boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sol Arka Çamurluk,-,Sağ Ön Çamurluk,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.449.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,167.000 km,Otomatik,Dizel,SUV,Yeşil,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.279.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2016,210.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,3 boyalı,Galeriden,Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sol Arka Kapı,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.330.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2014,210.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.418.950TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2017,179.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,9 lokal boyalı,Galeriden,Arka Kaput Tavan Ön Tampon Arka Tampon,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.049.000TL,28 Şubat 2026,Nissan,X-Trail,1.6 dCi Platinum,2015,267.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"5,1 lt",60 lt,"2 değişen, 2 boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sol Ön Çamurluk,Sol Arka Kapı Sol Ön Kapı,-,2014 - 2015,I Segment,16.177TL,11.432TL,4.0,320 nm,4000 rpm,1750 rpm,"11,4 sn",180 km/s,"5,1 lt","5,8 lt","4,7 lt",4643 mm,1820 mm,1695 mm,2135 kg,1540 kg,7.0,550 lt,225/55 R19,2706.0
1.569.000TL,28 Şubat 2026,Nissan,Qashqai,1.5 dCi Platinum Premium Pack,2015,69.900 km,Düz,Dizel,SUV,Kırmızı,1461 cc,110 hp,Önden Çekiş,"3,8 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,260 nm,4000 rpm,1750 rpm,"12,4 sn",180 km/s,"3,8 lt","4,2 lt","3,6 lt",4379 mm,1800 mm,1590 mm,1910 kg,1365 kg,5.0,401 lt,225/45 R19,2646.0
1.590.000TL,28 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,158.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.700.000TL,28 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,72.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Galeriden,Sağ Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk,Arka Kaput,-,,,,,,,,,,,,,,,,,,,,,,
1.558.850TL,28 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,120.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,2 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,Sağ Ön Kapı Sağ Ön Çamurluk,-,,,,,,,,,,,,,,,,,,,,,,
1.675.000TL,28 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,99.500 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
